8f66d910-172e-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 20:15:48;12;2022-08-09 20:15:48;96;2022-08-09 20:15:48;469;2022-08-09 20:15:48;40;2022-08-09 20:15:48;0;2022-08-09 20:15:48;44;2022-08-09 20:15:48;1;2022-08-09 20:15:48;28.4;2022-08-09 20:15:48;1577936731;2022-08-09 20:15:48;normal
;2022-08-09 20:20:49;11;2022-08-09 20:20:49;96;2022-08-09 20:20:49;460;2022-08-09 20:20:49;41;2022-08-09 20:20:49;0;2022-08-09 20:20:49;44;2022-08-09 20:20:49;1;2022-08-09 20:20:49;28.4;2022-08-09 20:20:49;1577937031;2022-08-09 20:20:49;normal
;2022-08-09 20:30:49;12;2022-08-09 20:30:49;96;2022-08-09 20:30:49;448;2022-08-09 20:30:49;41;2022-08-09 20:30:49;0;2022-08-09 20:30:49;44;2022-08-09 20:30:49;1;2022-08-09 20:30:49;28.3;2022-08-09 20:30:49;1577937399;2022-08-09 20:30:49;normal
;2022-08-09 20:30:51;11;2022-08-09 20:30:51;96;2022-08-09 20:30:51;438;2022-08-09 20:30:51;41;2022-08-09 20:30:51;0;2022-08-09 20:30:51;45;2022-08-09 20:30:51;1;2022-08-09 20:30:51;28.3;2022-08-09 20:30:51;1577937631;2022-08-09 20:30:51;normal
;2022-08-09 20:35:48;11;2022-08-09 20:35:48;96;2022-08-09 20:35:48;459;2022-08-09 20:35:48;41;2022-08-09 20:35:48;0;2022-08-09 20:35:48;43;2022-08-09 20:35:48;1;2022-08-09 20:35:48;28.3;2022-08-09 20:35:48;1577937931;2022-08-09 20:35:48;normal
;2022-08-09 20:40:48;12;2022-08-09 20:40:48;96;2022-08-09 20:40:48;451;2022-08-09 20:40:48;41;2022-08-09 20:40:48;0;2022-08-09 20:40:48;44;2022-08-09 20:40:48;1;2022-08-09 20:40:48;28.3;2022-08-09 20:40:48;1577938231;2022-08-09 20:40:48;normal
;2022-08-09 20:45:48;11;2022-08-09 20:45:48;96;2022-08-09 20:45:48;448;2022-08-09 20:45:48;41;2022-08-09 20:45:48;0;2022-08-09 20:45:48;44;2022-08-09 20:45:48;1;2022-08-09 20:45:48;28.2;2022-08-09 20:45:48;1577938531;2022-08-09 20:45:48;normal
;2022-08-09 20:55:48;11;2022-08-09 20:55:48;96;2022-08-09 20:55:48;443;2022-08-09 20:55:48;41;2022-08-09 20:55:48;0;2022-08-09 20:55:48;44;2022-08-09 20:55:48;1;2022-08-09 20:55:48;28.2;2022-08-09 20:55:48;1577938899;2022-08-09 20:55:48;normal
;2022-08-09 20:55:50;11;2022-08-09 20:55:50;96;2022-08-09 20:55:50;442;2022-08-09 20:55:50;41;2022-08-09 20:55:50;0;2022-08-09 20:55:50;45;2022-08-09 20:55:50;1;2022-08-09 20:55:50;28.2;2022-08-09 20:55:50;1577939131;2022-08-09 20:55:50;normal
;2022-08-09 21:00:48;11;2022-08-09 21:00:48;96;2022-08-09 21:00:48;454;2022-08-09 21:00:48;41;2022-08-09 21:00:48;0;2022-08-09 21:00:48;44;2022-08-09 21:00:48;1;2022-08-09 21:00:48;28.1;2022-08-09 21:00:48;1577939431;2022-08-09 21:00:48;normal
;2022-08-09 21:05:48;12;2022-08-09 21:05:48;96;2022-08-09 21:05:48;442;2022-08-09 21:05:48;42;2022-08-09 21:05:48;0;2022-08-09 21:05:48;44;2022-08-09 21:05:48;1;2022-08-09 21:05:48;28.1;2022-08-09 21:05:48;1577939731;2022-08-09 21:05:48;normal
;2022-08-09 21:10:48;12;2022-08-09 21:10:48;96;2022-08-09 21:10:48;456;2022-08-09 21:10:48;42;2022-08-09 21:10:48;0;2022-08-09 21:10:48;43;2022-08-09 21:10:48;1;2022-08-09 21:10:48;28.1;2022-08-09 21:10:48;1577940031;2022-08-09 21:10:48;normal
;2022-08-09 21:15:48;12;2022-08-09 21:15:48;96;2022-08-09 21:15:48;452;2022-08-09 21:15:48;42;2022-08-09 21:15:48;0;2022-08-09 21:15:48;44;2022-08-09 21:15:48;1;2022-08-09 21:15:48;28.1;2022-08-09 21:15:48;1577940331;2022-08-09 21:15:48;normal
;2022-08-09 21:20:48;11;2022-08-09 21:20:48;96;2022-08-09 21:20:48;459;2022-08-09 21:20:48;42;2022-08-09 21:20:48;0;2022-08-09 21:20:48;44;2022-08-09 21:20:48;1;2022-08-09 21:20:48;28.1;2022-08-09 21:20:48;1577940631;2022-08-09 21:20:48;normal
;2022-08-09 21:25:48;11;2022-08-09 21:25:48;96;2022-08-09 21:25:48;472;2022-08-09 21:25:48;42;2022-08-09 21:25:48;0;2022-08-09 21:25:48;44;2022-08-09 21:25:48;1;2022-08-09 21:25:48;28;2022-08-09 21:25:48;1577940931;2022-08-09 21:25:48;normal
;2022-08-09 21:30:48;11;2022-08-09 21:30:48;96;2022-08-09 21:30:48;455;2022-08-09 21:30:48;42;2022-08-09 21:30:48;0;2022-08-09 21:30:48;44;2022-08-09 21:30:48;1;2022-08-09 21:30:48;28;2022-08-09 21:30:48;1577941231;2022-08-09 21:30:48;normal
;2022-08-09 21:35:48;9;2022-08-09 21:35:48;95;2022-08-09 21:35:48;449;2022-08-09 21:35:48;42;2022-08-09 21:35:48;0;2022-08-09 21:35:48;44;2022-08-09 21:35:48;1;2022-08-09 21:35:48;28;2022-08-09 21:35:48;1577941531;2022-08-09 21:35:48;normal
;2022-08-09 21:40:48;11;2022-08-09 21:40:48;95;2022-08-09 21:40:48;452;2022-08-09 21:40:48;42;2022-08-09 21:40:48;0;2022-08-09 21:40:48;43;2022-08-09 21:40:48;1;2022-08-09 21:40:48;28;2022-08-09 21:40:48;1577941831;2022-08-09 21:40:48;normal
;2022-08-09 21:45:48;11;2022-08-09 21:45:48;95;2022-08-09 21:45:48;460;2022-08-09 21:45:48;42;2022-08-09 21:45:48;0;2022-08-09 21:45:48;44;2022-08-09 21:45:48;1;2022-08-09 21:45:48;28;2022-08-09 21:45:48;1577942131;2022-08-09 21:45:48;normal
;2022-08-09 21:50:48;11;2022-08-09 21:50:48;95;2022-08-09 21:50:48;445;2022-08-09 21:50:48;43;2022-08-09 21:50:48;0;2022-08-09 21:50:48;44;2022-08-09 21:50:48;1;2022-08-09 21:50:48;27.9;2022-08-09 21:50:48;1577942431;2022-08-09 21:50:48;normal
;2022-08-09 22:00:48;11;2022-08-09 22:00:48;95;2022-08-09 22:00:48;452;2022-08-09 22:00:48;43;2022-08-09 22:00:48;0;2022-08-09 22:00:48;44;2022-08-09 22:00:48;1;2022-08-09 22:00:48;27.9;2022-08-09 22:00:48;1577942799;2022-08-09 22:00:48;normal
;2022-08-09 22:00:50;11;2022-08-09 22:00:50;95;2022-08-09 22:00:50;461;2022-08-09 22:00:50;43;2022-08-09 22:00:50;0;2022-08-09 22:00:50;43;2022-08-09 22:00:50;1;2022-08-09 22:00:50;27.9;2022-08-09 22:00:50;1577943031;2022-08-09 22:00:50;normal
;2022-08-09 22:05:48;11;2022-08-09 22:05:48;95;2022-08-09 22:05:48;466;2022-08-09 22:05:48;43;2022-08-09 22:05:48;0;2022-08-09 22:05:48;44;2022-08-09 22:05:48;1;2022-08-09 22:05:48;27.9;2022-08-09 22:05:48;1577943331;2022-08-09 22:05:48;normal
;2022-08-09 22:10:48;11;2022-08-09 22:10:48;95;2022-08-09 22:10:48;450;2022-08-09 22:10:48;43;2022-08-09 22:10:48;0;2022-08-09 22:10:48;43;2022-08-09 22:10:48;1;2022-08-09 22:10:48;27.8;2022-08-09 22:10:48;1577943631;2022-08-09 22:10:48;normal
;2022-08-09 22:15:48;11;2022-08-09 22:15:48;95;2022-08-09 22:15:48;461;2022-08-09 22:15:48;43;2022-08-09 22:15:48;0;2022-08-09 22:15:48;44;2022-08-09 22:15:48;1;2022-08-09 22:15:48;27.8;2022-08-09 22:15:48;1577943931;2022-08-09 22:15:48;normal
