c5f6b3c0-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 21:35:26;89;2022-08-09 21:35:26;96;2022-08-09 21:35:26;576;2022-08-09 21:35:26;41;2022-08-09 21:35:26;0;2022-08-09 21:35:26;46;2022-08-09 21:35:26;1;2022-08-09 21:35:26;28.4;2022-08-09 21:35:26;1577941531;2022-08-09 21:35:26;normal
;2022-08-09 21:40:26;90;2022-08-09 21:40:26;96;2022-08-09 21:40:26;595;2022-08-09 21:40:26;41;2022-08-09 21:40:26;0;2022-08-09 21:40:26;46;2022-08-09 21:40:26;1;2022-08-09 21:40:26;28.3;2022-08-09 21:40:26;1577941831;2022-08-09 21:40:26;normal
;2022-08-09 21:45:25;89;2022-08-09 21:45:25;96;2022-08-09 21:45:25;586;2022-08-09 21:45:25;41;2022-08-09 21:45:25;0;2022-08-09 21:45:25;46;2022-08-09 21:45:25;1;2022-08-09 21:45:25;28.3;2022-08-09 21:45:25;1577942131;2022-08-09 21:45:25;normal
;2022-08-09 21:50:26;86;2022-08-09 21:50:26;96;2022-08-09 21:50:26;596;2022-08-09 21:50:26;41;2022-08-09 21:50:26;0;2022-08-09 21:50:26;46;2022-08-09 21:50:26;1;2022-08-09 21:50:26;28.3;2022-08-09 21:50:26;1577942431;2022-08-09 21:50:26;normal
;2022-08-09 21:55:26;89;2022-08-09 21:55:26;96;2022-08-09 21:55:26;602;2022-08-09 21:55:26;41;2022-08-09 21:55:26;0;2022-08-09 21:55:26;46;2022-08-09 21:55:26;1;2022-08-09 21:55:26;28.3;2022-08-09 21:55:26;1577942731;2022-08-09 21:55:26;normal
;2022-08-09 22:00:26;89;2022-08-09 22:00:26;95;2022-08-09 22:00:26;612;2022-08-09 22:00:26;42;2022-08-09 22:00:26;0;2022-08-09 22:00:26;46;2022-08-09 22:00:26;1;2022-08-09 22:00:26;28.3;2022-08-09 22:00:26;1577943031;2022-08-09 22:00:26;normal
;2022-08-09 22:05:26;90;2022-08-09 22:05:26;95;2022-08-09 22:05:26;592;2022-08-09 22:05:26;42;2022-08-09 22:05:26;0;2022-08-09 22:05:26;46;2022-08-09 22:05:26;1;2022-08-09 22:05:26;28.3;2022-08-09 22:05:26;1577943331;2022-08-09 22:05:26;normal
;2022-08-09 22:10:25;89;2022-08-09 22:10:25;95;2022-08-09 22:10:25;592;2022-08-09 22:10:25;42;2022-08-09 22:10:25;0;2022-08-09 22:10:25;46;2022-08-09 22:10:25;1;2022-08-09 22:10:25;28.3;2022-08-09 22:10:25;1577943631;2022-08-09 22:10:25;normal
;2022-08-09 22:15:26;90;2022-08-09 22:15:26;95;2022-08-09 22:15:26;591;2022-08-09 22:15:26;42;2022-08-09 22:15:26;0;2022-08-09 22:15:26;46;2022-08-09 22:15:26;1;2022-08-09 22:15:26;28.2;2022-08-09 22:15:26;1577943931;2022-08-09 22:15:26;normal
;2022-08-09 22:20:25;90;2022-08-09 22:20:25;95;2022-08-09 22:20:25;599;2022-08-09 22:20:25;42;2022-08-09 22:20:25;0;2022-08-09 22:20:25;46;2022-08-09 22:20:25;1;2022-08-09 22:20:25;28.2;2022-08-09 22:20:25;1577944231;2022-08-09 22:20:25;normal
;2022-08-09 22:25:25;90;2022-08-09 22:25:25;95;2022-08-09 22:25:25;593;2022-08-09 22:25:25;42;2022-08-09 22:25:25;0;2022-08-09 22:25:25;46;2022-08-09 22:25:25;1;2022-08-09 22:25:25;28.2;2022-08-09 22:25:25;1577944531;2022-08-09 22:25:25;normal
;2022-08-09 22:30:26;89;2022-08-09 22:30:26;95;2022-08-09 22:30:26;591;2022-08-09 22:30:26;42;2022-08-09 22:30:26;0;2022-08-09 22:30:26;46;2022-08-09 22:30:26;1;2022-08-09 22:30:26;28.2;2022-08-09 22:30:26;1577944831;2022-08-09 22:30:26;normal
;2022-08-09 22:35:25;89;2022-08-09 22:35:25;95;2022-08-09 22:35:25;587;2022-08-09 22:35:25;42;2022-08-09 22:35:25;0;2022-08-09 22:35:25;46;2022-08-09 22:35:25;1;2022-08-09 22:35:25;28.2;2022-08-09 22:35:25;1577945131;2022-08-09 22:35:25;normal
;2022-08-09 22:40:25;90;2022-08-09 22:40:25;95;2022-08-09 22:40:25;589;2022-08-09 22:40:25;42;2022-08-09 22:40:25;0;2022-08-09 22:40:25;46;2022-08-09 22:40:25;1;2022-08-09 22:40:25;28.2;2022-08-09 22:40:25;1577945431;2022-08-09 22:40:25;normal
;2022-08-09 22:45:25;89;2022-08-09 22:45:25;95;2022-08-09 22:45:25;608;2022-08-09 22:45:25;42;2022-08-09 22:45:25;0;2022-08-09 22:45:25;46;2022-08-09 22:45:25;1;2022-08-09 22:45:25;28.2;2022-08-09 22:45:25;1577945731;2022-08-09 22:45:25;normal
;2022-08-09 22:50:25;89;2022-08-09 22:50:25;95;2022-08-09 22:50:25;601;2022-08-09 22:50:25;42;2022-08-09 22:50:25;0;2022-08-09 22:50:25;46;2022-08-09 22:50:25;1;2022-08-09 22:50:25;28.2;2022-08-09 22:50:25;1577946031;2022-08-09 22:50:25;normal
;2022-08-09 22:55:26;90;2022-08-09 22:55:26;95;2022-08-09 22:55:26;599;2022-08-09 22:55:26;42;2022-08-09 22:55:26;0;2022-08-09 22:55:26;46;2022-08-09 22:55:26;1;2022-08-09 22:55:26;28.2;2022-08-09 22:55:26;1577946331;2022-08-09 22:55:26;normal
;2022-08-09 23:00:26;89;2022-08-09 23:00:26;95;2022-08-09 23:00:26;600;2022-08-09 23:00:26;42;2022-08-09 23:00:26;0;2022-08-09 23:00:26;46;2022-08-09 23:00:26;1;2022-08-09 23:00:26;28.2;2022-08-09 23:00:26;1577946631;2022-08-09 23:00:26;normal
;2022-08-09 23:05:26;90;2022-08-09 23:05:26;95;2022-08-09 23:05:26;612;2022-08-09 23:05:26;42;2022-08-09 23:05:26;0;2022-08-09 23:05:26;46;2022-08-09 23:05:26;1;2022-08-09 23:05:26;28.2;2022-08-09 23:05:26;1577946931;2022-08-09 23:05:26;normal
